t,alpha_0,alpha_1,pos_prev_0,pos_prev_1,pos_new_0,pos_new_1
0,0.0,0.0,0.0,0.0,-0.20456327,0.22782673
1,0.84898025,-1.1716765,-0.20456327,0.22782673,-7.646282,6.5210953
2,0.11919522,0.05199033,-7.646282,6.5210953,-9.514071,9.247923
3,0.92996633,0.5007132,-9.514071,9.247923,-14.848326,14.011862
4,-0.7219304,1.71504,-14.848326,14.011862,-7.3850365,9.010451
5,-2.0962646,1.743169,-7.3850365,9.010451,8.020726,-5.0766034
6,-1.3543539,-0.9467343,8.020726,-5.0766034,13.809527,-12.414445
7,1.567202,-2.2576747,13.809527,-12.414445,0.55370635,-2.8434672
8,1.940681,-2.1520982,0.55370635,-2.8434672,-14.135709,11.841834
9,0.049173832,0.5273987,-14.135709,11.841834,-14.622214,14.605215
10,1.1714981,0.09218341,-14.622214,14.605215,-22.127878,20.91846
11,0.86626846,-1.1352873,-22.127878,20.91846,-30.792498,29.213797
12,0.51497126,-0.070138395,-30.792498,29.213797,-35.209393,34.572372
13,0.75392663,-1.2960879,-35.209393,34.572372,-43.28616,41.936287
14,0.19599885,-1.1734697,-43.28616,41.936287,-48.04183,47.28087
15,-0.23516057,-0.19543666,-48.04183,47.28087,-47.786533,48.150463
16,-2.5228968,0.5042585,-47.786533,48.150463,-31.902935,35.091293
17,-1.1654925,0.14259812,-31.902935,35.091293,-23.834726,25.800179
18,-2.7476044,2.4111128,-23.834726,25.800179,-2.9581208,7.1455073
19,-3.9548326,2.4668765,-2.9581208,7.1455073,21.252516,-16.941402
20,-2.861534,1.2080587,21.252516,-16.941402,37.91885,-33.9095
21,-2.093565,0.24349415,37.91885,-33.9095,51.86606,-48.76628
22,-2.5113974,0.9737037,51.86606,-48.76628,69.30103,-65.55922
23,-2.986401,0.4444809,69.30103,-65.55922,88.270744,-84.163704
24,-3.688801,0.28406647,88.270744,-84.163704,110.70556,-105.851746
25,-3.316309,-0.5041145,110.70556,-105.851746,129.27863,-124.932205
26,-2.1397536,-0.08414602,129.27863,-124.932205,141.5496,-138.0279
