t,alpha_0,alpha_1,pos_prev_0,pos_prev_1,pos_new_0,pos_new_1
0,0.0,0.0,0.0,0.0,-0.0008813394,0.086571746
1,1.1020389,-0.8456637,-0.0008813394,0.086571746,1.3645791,3.5610747
2,-0.29221988,0.6655189,1.3645791,3.5610747,2.4794123,2.6556878
3,0.030594915,0.0046765506,2.4794123,2.6556878,1.625094,1.5067513
4,-1.0297585,1.6041799,1.625094,1.5067513,0.23295419,-1.5104024
5,-0.3147068,0.42098427,0.23295419,-1.5104024,-1.4440596,-2.5793357
6,-1.1573389,0.3941569,-1.4440596,-2.5793357,-3.5256345,-6.12374
7,-1.237114,0.61280346,-3.5256345,-6.12374,-5.7087703,-8.637019
8,0.29786956,-1.110358,-5.7087703,-8.637019,-6.109138,-6.3019376
9,-0.62466687,0.55803615,-6.109138,-6.3019376,-4.4544706,-5.157327
10,-0.9239603,0.8872968,-4.4544706,-5.157327,-4.0588474,-5.594821
11,-1.2148458,0.19644353,-4.0588474,-5.594821,-5.6975665,-8.410835
12,-1.993241,0.40934867,-5.6975665,-8.410835,-8.697665,-13.261126
13,-1.6428328,0.34121397,-8.697665,-13.261126,-11.037979,-15.127193
14,-1.5664997,-0.41756976,-11.037979,-15.127193,-12.716797,-16.6249
15,-1.8699688,-0.38753822,-12.716797,-16.6249,-14.112467,-18.509554
16,-4.087945,1.8735743,-14.112467,-18.509554,-17.118746,-25.624563
17,-4.462531,1.9130988,-17.118746,-25.624563,-22.268671,-32.457577
18,-3.5751162,1.2486243,-22.268671,-32.457577,-25.437515,-34.164234
19,-1.6117321,-0.3243457,-25.437515,-34.164234,-24.24293,-28.67915
20,-0.63691443,-1.2639842,-24.24293,-28.67915,-19.824335,-21.212034
21,-1.0798687,-1.6471994,-19.824335,-21.212034,-16.450752,-18.382448
22,-1.5838646,-0.9437752,-16.450752,-18.382448,-15.064632,-18.245798
23,-1.1125474,-0.9322737,-15.064632,-18.245798,-14.154015,-16.712204
24,-1.4344726,-0.25977737,-14.154015,-16.712204,-13.098313,-16.004475
25,-1.2356573,-1.4064798,-13.098313,-16.004475,-13.572723,-16.64215
26,-1.4222708,-2.1381927,-13.572723,-16.64215,-15.0926,-18.862371
27,-1.9082496,0.05935657,-15.0926,-18.862371,-14.985828,-19.080713
28,-1.9267033,0.5378999,-14.985828,-19.080713,-14.663877,-18.706533
29,-1.2676158,-0.057426393,-14.663877,-18.706533,-13.803816,-16.607332
30,-1.9363761,0.2117258,-13.803816,-16.607332,-13.496855,-17.427116
31,-0.4254514,-1.0716648,-13.496855,-17.427116,-12.580404,-14.016857
32,-0.86571825,0.6707894,-12.580404,-14.016857,-9.460758,-10.592889
33,-0.9329431,-0.049930304,-9.460758,-10.592889,-8.256123,-9.906549
34,-1.3424993,-0.25967506,-8.256123,-9.906549,-8.924883,-11.813683
35,-2.674897,0.5951399,-8.924883,-11.813683,-11.771151,-17.591143
36,-3.0435243,0.6963701,-11.771151,-17.591143,-15.952875,-23.110727
37,-2.1072958,-0.17463893,-15.952875,-23.110727,-18.389303,-23.961596
38,-1.7370354,-0.6979281,-18.389303,-23.961596,-18.569479,-22.84711
39,-1.1476917,-1.9036776,-18.569479,-22.84711,-18.01547,-21.078762
40,-0.643052,-1.5738422,-18.01547,-21.078762,-15.602488,-17.141077
41,-0.13583305,-1.1384742,-15.602488,-17.141077,-11.7747135,-11.765476
42,-0.79272926,-2.0711775,-11.7747135,-11.765476,-10.724461,-12.313655
43,-2.213929,0.22145724,-10.724461,-12.313655,-11.465618,-15.929969
44,-2.3715978,-0.07013892,-11.465618,-15.929969,-14.379244,-20.007975
45,-0.88966453,-1.039406,-14.379244,-20.007975,-15.069251,-17.973486
46,-0.97303534,-0.80766207,-15.069251,-17.973486,-13.569145,-15.687702
47,-0.9757256,0.059393108,-13.569145,-15.687702,-11.26778,-12.9552765
48,-1.2150767,0.79766357,-11.26778,-12.9552765,-9.3539295,-11.358643
49,-1.9644568,1.301549,-9.3539295,-11.358643,-9.335417,-13.044824
50,0.2828343,-1.0521841,-9.335417,-13.044824,-8.687979,-8.847506
51,0.1163404,-0.1497441,-8.687979,-8.847506,-5.301413,-4.4298925
52,0.9016951,-0.4194282,-5.301413,-4.4298925,-1.3292042,1.2309301
53,1.094291,0.17140898,-1.3292042,1.2309301,2.9107463,5.9147696
54,1.3783728,-0.058330297,2.9107463,5.9147696,6.3496456,10.121986
55,2.1997235,-0.08465831,6.3496456,10.121986,10.2576065,15.633068
56,2.4782612,-0.51338243,10.2576065,15.633068,13.770096,19.79009
57,2.7686043,-1.0003047,13.770096,19.79009,16.366663,22.794537
58,3.4319603,-1.1772493,16.366663,22.794537,19.201155,26.915892
59,3.2869737,-0.63108015,19.201155,26.915892,22.000725,29.80927
60,1.8862339,0.8789822,22.000725,29.80927,22.588392,27.846462
61,1.8981669,-0.12010342,22.588392,27.846462,20.210516,24.296738
62,2.7871733,-1.8830173,20.210516,24.296738,17.92293,22.981375
63,3.5480695,-2.8967752,17.92293,22.981375,17.716854,24.502254
64,2.067158,-1.0878398,17.716854,24.502254,17.838533,22.717745
65,4.1680956,-1.800005,17.838533,22.717745,19.64031,27.968073
66,5.490005,-2.4319158,19.64031,27.968073,24.950085,36.910015
67,5.6628666,-1.077362,24.950085,36.910015,32.036335,45.573196
68,3.6676774,1.1133906,32.036335,45.573196,35.780727,45.936913
69,3.6554804,1.0451063,35.780727,45.936913,35.614998,44.498203
70,4.086911,-0.12200105,35.614998,44.498203,34.312183,43.283447
71,2.7459846,0.88287956,34.312183,43.283447,32.12764,38.77889
72,2.6659012,0.9692987,32.12764,38.77889,29.14363,35.06417
73,2.4820626,1.614191,29.14363,35.06417,27.06304,32.716434
74,2.2101483,1.3984656,27.06304,32.716434,25.01771,30.10946
75,1.7122746,0.9720244,25.01771,30.10946,22.189856,26.08956
76,2.6900039,0.058149815,22.189856,26.08956,20.576889,25.907812
77,2.3338933,0.55955213,20.576889,25.907812,20.526045,25.920744
78,2.8631296,0.6683204,20.526045,25.920744,21.516405,28.012299
79,2.8515506,0.00087091327,21.516405,28.012299,22.303774,28.885675
80,0.72534657,1.823813,22.303774,28.885675,20.650972,23.422403
81,0.49351293,1.1943035,20.650972,23.422403,15.97163,16.939123
82,-1.1054652,1.60318,15.97163,16.939123,9.417702,7.019861
83,-0.9670588,1.86056,9.417702,7.019861,3.6026037,0.97691387
84,-1.4248201,2.5602255,3.6026037,0.97691387,-0.43178698,-3.531526
85,-0.7000555,1.4719396,-0.43178698,-3.531526,-2.474327,-4.3559227
86,-1.6287136,1.5122023,-2.474327,-4.3559227,-4.4401627,-7.8415155
87,-1.7633563,1.6067083,-4.4401627,-7.8415155,-6.770455,-10.680768
88,-3.2693357,2.5726829,-6.770455,-10.680768,-10.311307,-17.163713
89,-3.5409892,1.9575928,-10.311307,-17.163713,-15.480329,-23.69264
90,-3.777365,1.8106647,-15.480329,-23.69264,-19.964594,-28.756407
91,-2.5762515,1.1146674,-19.964594,-28.756407,-21.464048,-27.872488
92,-2.3168163,0.8419869,-21.464048,-27.872488,-20.457102,-25.494734
93,-0.9595518,0.56583816,-20.457102,-25.494734,-16.845491,-18.814901
94,1.0234127,-1.320592,-16.845491,-18.814901,-10.877047,-8.5002165
95,0.054702878,0.2564878,-10.877047,-8.5002165,-4.65459,-2.9390707
96,0.675749,-0.8337632,-4.65459,-2.9390707,-1.229477,0.8869311
97,0.13464826,-0.020261943,-1.229477,0.8869311,1.1007503,2.302893
