t,alpha_0,alpha_1,pos_prev_0,pos_prev_1,pos_new_0,pos_new_1,pos_gp_0,pos_gp_1
0,0.0,0.0,0.0,0.0,-0.63467634,-0.6232486,0.0,0.0
1,0.63243407,-0.29244363,-0.63467634,-0.6232486,-8.061874,-8.681931,-9.425336183988847,-9.825709050251493
2,0.3578591,0.15677708,-8.061874,-8.681931,-1.7315892,-2.4027913,-1.2716425592858887,-1.8585548036661428
3,-1.5696576,-0.72320384,-1.7315892,-2.4027913,-16.7254,-15.23341,-16.69671147410792,-15.276227725304437
4,-3.392599,-2.543465,-16.7254,-15.23341,-56.864944,-52.18694,-69.75482961708732,-64.85285320272183
5,-2.8957667,-1.9290332,-56.864944,-52.18694,-62.3801,-56.87309,-80.70333806582005,-74.79474026417563
6,-2.0207293,-1.0968184,-62.3801,-56.87309,-48.481884,-43.621204,-65.54201399057393,-60.298836073451
7,-0.10710466,-0.27665365,-48.481884,-43.621204,-26.581642,-24.029459,-40.0559710669254,-37.204449476979015
8,0.9971335,0.47941253,-26.581642,-24.029459,-2.213802,-2.045038,-9.280841675391635,-8.95380821302433
9,2.1998584,0.72545135,-2.213802,-2.045038,13.961464,11.497072,10.02410180862978,7.928756188236811
10,2.7893097,0.58177686,13.961464,11.497072,15.275194,11.319935,14.401312676288594,10.657548878740593
11,3.7430634,1.3609259,15.275194,11.319935,29.51912,23.808973,35.5985710478644,29.820319077792814
12,2.8189554,0.36484063,29.51912,23.808973,15.771956,10.412036,21.2132760150638,15.710306042837257
13,3.1534462,0.49972242,15.771956,10.412036,11.735601,6.157387,16.919540028016335,11.198533028257527
14,1.885849,-0.7719804,11.735601,6.157387,-16.062414,-20.163914,-16.92128257941694,-21.02538624700328
15,1.3330358,-0.031257033,-16.062414,-20.163914,-13.994345,-17.079018,-12.394819883302223,-15.581622697758439
16,0.5079632,-0.34585443,-13.994345,-17.079018,-17.92681,-19.683447,-16.78912393848629,-18.648943367645384
17,-0.8559178,-1.154126,-17.92681,-19.683447,-34.33498,-33.952145,-37.83930797615791,-37.45697907250582
18,-0.68898547,-0.7682544,-34.33498,-33.952145,-32.93987,-31.82246,-38.244039643030895,-37.07648194683095
19,-0.4522547,0.7895188,-32.93987,-31.82246,-1.3075755,-0.5550082,3.420871332578969,4.002472776123369
20,2.2951977,1.7087572,-1.3075755,-0.5550082,25.845884,24.235914,42.92774745827567,40.38866297040076
21,2.5725393,1.6068311,25.845884,24.235914,42.933506,39.303905,59.264507302116776,54.97642208296304
22,1.8098078,0.5959805,42.933506,39.303905,29.853271,26.306871,41.67369468163068,37.67172122964167
23,1.4988632,0.3381687,29.853271,26.306871,17.912315,14.757911,26.577799194413462,23.115344012435685
24,-0.271657,-0.63240004,17.912315,14.757911,-6.9814196,-7.990084,-3.301684977388609,-4.484162061405723
25,1.2458501,-0.17436966,-6.9814196,-7.990084,-9.082013,-10.671629,-9.280021100733967,-10.8596430106947
26,-0.46424568,-2.1891353,-9.082013,-10.671629,-48.677402,-48.244778,-63.17170527506788,-62.47280154935415
27,-1.1841258,-2.3051882,-48.677402,-48.244778,-70.32385,-68.20889,-91.61243967405107,-89.09539848326989
28,-1.2192842,-2.2662706,-70.32385,-68.20889,-79.66204,-76.70495,-104.69184841789357,-101.25474408548968
29,-1.5905584,-1.1214215,-79.66204,-76.70495,-61.05156,-57.723083,-79.20108090702311,-75.55261865109902
30,-2.2841268,-1.5786405,-61.05156,-57.723083,-59.403355,-55.171665,-77.30066084309405,-72.72077239639825
31,-3.4976485,-2.4099653,-59.403355,-55.171665,-73.36667,-67.362404,-96.17893159152983,-89.6729610153978
32,-3.7503872,-2.207344,-73.36667,-67.362404,-74.81024,-67.801216,-99.51657879806893,-91.93019014899622
33,-3.858075,-1.2221742,-74.81024,-67.801216,-55.36262,-48.10388,-74.11228989741049,-66.38244782766645
34,-2.0482903,-0.002036333,-55.36262,-48.10388,-21.66072,-16.3268,-32.37419364411162,-26.74077423009195
35,-3.09325,-0.7019429,-21.66072,-16.3268,-18.856102,-13.282445,-28.14525087071744,-22.310448910698
36,-2.2620103,-0.55405664,-18.856102,-13.282445,-14.408476,-9.513847,-23.926691959367872,-18.78198927762446
37,-2.3570282,-0.2509245,-14.408476,-9.513847,-6.7315855,-2.14406,-13.344016369239744,-8.61304394863217
38,-0.745234,1.2767128,-6.7315855,-2.14406,27.208567,29.664707,29.813741903072472,32.18770432167766
39,0.6606637,2.5061846,27.208567,29.664707,65.66884,65.392235,81.61684731506075,80.98803326877048
40,1.9572544,3.2958758,65.66884,65.392235,97.79963,94.885765,126.02116131138344,122.37960313874946
41,1.3558923,1.5594702,97.79963,94.885765,79.29376,76.173195,102.33560597562598,98.56967923501085
42,0.62255925,0.16181087,79.29376,76.173195,42.384895,40.27248,54.13367497238495,51.63307184327238
43,1.5078095,1.367142,42.384895,40.27248,46.827057,44.024982,60.80381892707314,57.57287618286392
44,0.4325143,0.08577764,46.827057,44.024982,23.328648,21.58349,31.73710698366876,29.705779615922857
45,0.022414327,0.2783211,23.328648,21.58349,15.9362135,14.995195,23.394794995297666,22.221449842499347
46,0.33679694,1.0009735,15.9362135,14.995195,27.535109,26.448534,38.17278235280218,36.797949438958916
47,1.0297565,1.4149716,27.535109,26.448534,41.161854,39.264194,55.23133610196657,52.952020471727124
48,1.354461,0.24484974,41.161854,39.264194,23.916094,21.69473,31.14972732435413,28.719591220226487
49,1.64708,1.2001619,23.916094,21.69473,33.81049,30.863577,44.44322522194888,41.21033608904319
