t,alpha_0,alpha_1,pos_prev_0,pos_prev_1,pos_new_0,pos_new_1
0,0.0,0.0,0.0,0.0,-0.50825083,-0.73522985
1,-0.8044314,-0.45434242,-0.50825083,-0.73522985,16.980328,17.732143
2,0.14814955,1.5243921,16.980328,17.732143,-35.698345,-38.650654
3,1.010288,1.9481823,-35.698345,-38.650654,-78.93855,-83.78813
4,1.6567523,0.9040016,-78.93855,-83.78813,-71.51369,-75.76112
5,2.19102,1.3998722,-71.51369,-75.76112,-87.72108,-92.94963
6,2.0427191,0.5847502,-87.72108,-92.94963,-67.30884,-71.26175
7,2.204362,0.82070863,-67.30884,-71.26175,-67.47386,-71.48229
8,0.8214444,-0.5989376,-67.47386,-71.48229,-16.941265,-17.941708
9,0.47835585,-1.6047788,-16.941265,-17.941708,34.576565,36.55286
10,0.93656933,-1.7748145,34.576565,36.55286,65.27982,68.0699
11,2.562948,-1.1816285,65.27982,68.0699,52.869137,54.07005
12,2.891181,0.15711659,52.869137,54.07005,2.9409773,1.5157402
13,3.109088,-1.0906612,2.9409773,1.5157402,13.635818,14.385133
14,2.308496,-0.9087814,13.635818,14.385133,21.335032,22.26313
15,2.9340272,-1.586828,21.335032,22.26313,40.908283,42.84728
16,1.1285318,-2.2716577,40.908283,42.84728,80.38481,83.91825
17,0.1500116,-3.2283697,80.38481,83.91825,131.36385,136.60085
18,-0.119038,-3.0029821,131.36385,136.60085,151.70932,156.47844
19,0.27670303,-3.0234559,151.70932,156.47844,157.53523,162.03691
20,1.2472005,-1.9957644,157.53523,162.03691,124.847595,127.2514
21,-0.14105237,-3.3964593,124.847595,127.2514,154.75089,159.92854
22,-0.11649541,-0.6335124,154.75089,159.92854,94.33396,94.77223
23,-1.0959955,-0.36552343,94.33396,94.77223,54.049915,53.917385
24,-3.9419336,-1.9779464,54.049915,53.917385,102.01893,105.815186
25,-5.310341,-2.2739072,102.01893,105.815186,146.32344,151.08089
26,-6.823661,-1.3240018,146.32344,151.08089,147.71172,150.89568
27,-4.7499857,1.5465968,147.71172,150.89568,53.248028,50.805614
28,-5.7491107,0.89943403,53.248028,50.805614,20.963926,19.560953
29,-5.484725,0.14911443,20.963926,19.560953,32.608128,33.016098
30,-4.4589705,0.29176143,32.608128,33.016098,32.018192,32.1418
31,-5.0109053,-0.68806756,32.018192,32.1418,62.795673,64.763405
32,-3.2866473,0.74003446,62.795673,64.763405,27.649166,26.652843
33,-3.095516,0.4657771,27.649166,26.652843,12.409337,11.666708
34,-1.4543267,2.505947,12.409337,11.666708,-57.42197,-61.69467
35,-0.6019396,3.0445623,-57.42197,-61.69467,-109.70112,-116.42102
36,-2.2012973,2.0131118,-109.70112,-116.42102,-95.5198,-101.30171
37,-2.6626062,0.4710579,-95.5198,-101.30171,-42.500385,-45.12393
38,-2.9960394,-1.28688,-42.500385,-45.12393,31.043781,32.73197
39,-2.5852668,-0.8112972,31.043781,32.73197,56.799633,58.742027
40,-3.385957,-0.086536646,56.799633,58.742027,49.53651,50.076874
41,-2.126614,0.18419726,49.53651,50.076874,26.60611,26.13818
42,-0.74818707,0.87209237,26.60611,26.13818,-13.344222,-15.341291
43,-0.7607884,-0.48913342,-13.344222,-15.341291,12.818232,13.412835
44,-2.0852983,-0.17583823,12.818232,13.412835,25.762169,26.459423
45,-2.7470765,0.26422387,25.762169,26.459423,20.654716,20.525484
46,-1.725146,0.92246616,20.654716,20.525484,-9.948552,-11.662638
47,-0.98292017,1.1141746,-9.948552,-11.662638,-33.62851,-35.87454
48,-1.4896176,-0.03901702,-33.62851,-35.87454,-5.311298,-5.786533
49,-3.3637948,-1.0005635,-5.311298,-5.786533,39.427105,41.385506
50,-3.7373018,-0.45488995,39.427105,41.385506,56.643024,58.149734
51,-3.678901,-0.33281806,56.643024,58.149734,57.657738,58.666718
52,-4.0828714,-2.5612104,57.657738,58.666718,122.38008,127.288445
53,-4.194909,-2.5079098,122.38008,127.288445,157.60944,162.5273
54,-4.7154922,-2.974835,157.60944,162.5273,188.70137,194.30399
55,-3.411769,-1.3984046,188.70137,194.30399,147.67973,149.88393
56,-2.425112,-0.24009985,147.67973,149.88393,83.80113,83.554085
57,-2.9938226,-0.16941535,83.80113,83.554085,53.27961,53.21145
58,-3.309315,-0.42569536,53.27961,53.21145,52.803078,53.67376
59,-5.4806004,-0.504748,52.803078,53.67376,70.06542,71.73296
60,-6.0760894,-0.3731752,70.06542,71.73296,78.29382,79.81991
61,-4.7716417,0.21252665,78.29382,79.81991,55.684162,55.714172
62,-3.8203309,0.46646273,55.684162,55.714172,29.728714,29.031326
63,-4.2033052,0.54875946,29.728714,29.031326,18.433983,17.850344
64,-3.5952384,-0.8721898,18.433983,17.850344,53.513065,55.537384
65,-2.804879,0.18319893,53.513065,55.537384,36.625988,36.554325
66,-1.5496547,1.2448572,36.625988,36.554325,-12.925413,-15.335665
67,-1.9250503,0.4213724,-12.925413,-15.335665,-8.211394,-8.949366
68,-2.3557549,0.9709857,-8.211394,-8.949366,-18.620525,-20.022259
69,-3.7007012,0.013228476,-18.620525,-20.022259,11.557524,11.963369
70,-2.3707352,1.8276337,11.557524,11.963369,-32.88596,-35.79368
71,-1.4842187,1.5223995,-32.88596,-35.79368,-51.889393,-55.19758
72,-0.58043325,1.8156376,-51.889393,-55.19758,-73.78748,-78.33263
73,0.008985698,1.0077693,-73.78748,-78.33263,-62.797283,-66.59514
74,1.7327731,1.6236534,-62.797283,-66.59514,-87.65112,-92.91796
75,1.7485613,1.0023232,-87.65112,-92.91796,-78.74371,-83.40284
76,2.3870919,1.4844851,-78.74371,-83.40284,-94.50541,-100.119194
77,1.8412635,2.0207984,-94.50541,-100.119194,-113.765945,-120.52939
78,0.9438609,0.6923522,-113.765945,-120.52939,-76.02829,-80.49011
